Beta: {'plain_acc': 0.839, 'aug_pe': 0.13, 'layer-0': 3.7, 'layer-1': 1.4000000000000001, 'layer-2': 1.1, 'layer_inter-0': 1.3, 'layer_inter-1': 1.5}, Acc: 0.8303448275862069, layer AUC: [0.957445798970498, 0.7857298035234103], graphMI AUC: 0.5215304544095101
Beta: {'plain_acc': 0.839, 'aug_pe': 0.1, 'layer-0': 4.1000000000000005, 'layer-1': 1.8, 'layer-2': 0.5, 'layer_inter-0': 1.5, 'layer_inter-1': 1.7000000000000002}, Acc: 0.8303448275862069, layer AUC: [0.9570447888148474, 0.8102604085162729], graphMI AUC: 0.5249581790603626
Beta: {'plain_acc': 0.839, 'aug_pe': 0.17, 'layer-0': 5.5, 'layer-1': 0.7000000000000001, 'layer-2': 0.8, 'layer_inter-0': 1.1, 'layer_inter-1': 1.9000000000000001}, Acc: 0.8124137931034482, layer AUC: [0.9572219449573545, 0.79009482472157], graphMI AUC: 0.5222555006456253
Beta: {'plain_acc': 0.839, 'aug_pe': 0.17, 'layer-0': 4.2, 'layer-1': 1.5, 'layer-2': 1.2000000000000002, 'layer_inter-0': 1.9000000000000001, 'layer_inter-1': 1.6}, Acc: 0.8289655172413792, layer AUC: [0.9574708565700291, 0.7881335290931963], graphMI AUC: 0.5227119784760731
Beta: {'plain_acc': 0.839, 'aug_pe': 0.38, 'layer-0': 4.3, 'layer-1': 1.8, 'layer-2': 0.8, 'layer_inter-0': 1.5, 'layer_inter-1': 1.5}, Acc: 0.8551724137931034, layer AUC: [0.9512455530787467, 0.863422498987047], graphMI AUC: 0.5419105129088245
Beta: {'plain_acc': 0.839, 'aug_pe': 0.09, 'layer-0': 4.0, 'layer-1': 2.6, 'layer-2': 0.4, 'layer_inter-0': 1.3, 'layer_inter-1': 1.3}, Acc: 0.8248275862068964, layer AUC: [0.9563657290576997, 0.7918335258788491], graphMI AUC: 0.5195839257088604
Beta: {'plain_acc': 0.839, 'aug_pe': 0.36, 'layer-0': 5.6000000000000005, 'layer-1': 1.4000000000000001, 'layer-2': 0.5, 'layer_inter-0': 1.9000000000000001, 'layer_inter-1': 1.4000000000000001}, Acc: 0.8110344827586207, layer AUC: [0.9572149816828376, 0.7727342162680279], graphMI AUC: 0.5180892799513441
Beta: {'plain_acc': 0.839, 'aug_pe': 0.36, 'layer-0': 5.7, 'layer-1': 1.3, 'layer-2': 0.5, 'layer_inter-0': 1.9000000000000001, 'layer_inter-1': 1.4000000000000001}, Acc: 0.8317241379310344, layer AUC: [0.9567955398441365, 0.7893451813760181], graphMI AUC: 0.5217533410541964

Beta: {'plain_acc': 0.839, 'aug_pe': 0.38, 'layer-0': 4.3, 'layer-1': 1.8, 'layer-2': 0.8, 'layer_inter-0': 1.5, 'layer_inter-1': 1.5}, Acc: 0.8551724137931034, layer AUC: [0.9512455530787467, 0.863422498987047], graphMI AUC: 0.5419105129088245
